,City,Country,Lat,Lng,Humidity,Cloudiness,Max Temperature,Wind Speed,Date
46,Dhidhdhoo,MV,6.8833,73.1,78,100,82.85,19.46,1628289905
47,Ushtobe,KZ,45.2514,77.9838,38,67,66.83,9.73,1628290474
48,Mana,GF,5.6592,-53.7767,85,51,77.9,1.61,1628290475
49,Kiama,AU,-34.6833,150.8667,63,15,55.58,11.99,1628290477
50,Musoma,TZ,-1.5,33.8,67,50,71.13,5.57,1628290480
51,Haren,DE,52.7833,7.2333,94,59,62.47,4.61,1628290481
52,Saint Paul Harbor,US,57.79,-152.4072,82,90,58.51,9.22,1628289923
53,Lorengau,PG,-2.0226,147.2712,79,100,81.7,8.84,1628290386
54,Beloha,MG,-25.1667,45.05,64,1,64.54,4.54,1628290356
55,Dalian,CN,38.9122,121.6022,83,0,76.93,2.24,1628290487
56,Hilo,US,19.7297,-155.09,65,90,83.93,11.5,1628290325
57,Atar,MR,20.5169,-13.0499,29,14,92.62,8.55,1628290491
58,Palanga,LT,55.9175,21.0686,94,90,59.02,10.36,1628290493
59,Grandview,US,38.8858,-94.533,64,2,90.32,5.01,1628290494
60,Sabha,LY,27.0377,14.4283,11,0,90.66,7.74,1628290497
61,Ushuaia,AR,-54.8,-68.3,56,75,37.06,32.21,1628290208
62,Saskylakh,RU,71.9167,114.0833,80,97,45.84,10.76,1628290159
63,Riyadh,SA,24.6877,46.7219,12,2,91.54,8.61,1628290068
64,Cabo San Lucas,MX,22.8909,-109.9124,64,50,91.51,8.99,1628290047
65,Quatre Cocos,MU,-20.2078,57.7625,66,69,69.91,11.18,1628290505
66,Lavrentiya,RU,65.5833,-171.0,75,100,45.0,10.78,1628290293
67,Punta Arenas,CL,-53.15,-70.9167,75,75,33.91,13.8,1628290032
68,Dikson,RU,73.5069,80.5464,85,100,48.27,10.54,1628289920
69,Saint-Augustin,CA,51.226,-58.6502,81,100,65.88,16.55,1628290511
70,Port Elizabeth,ZA,-33.918,25.5701,93,0,50.29,4.61,1628290026
71,Cabedelo,BR,-6.9811,-34.8339,78,50,77.67,18.3,1628290399
72,Korla,CN,41.7597,86.1469,35,85,77.32,2.66,1628290438
73,Kungurtug,RU,50.5994,97.5228,96,100,51.78,2.15,1628290517
74,São Geraldo do Araguaia,BR,-6.4006,-48.555,32,1,81.05,3.31,1628290393
75,Doctor Arroyo,MX,23.6667,-100.1833,35,72,79.72,9.33,1628290521
76,Sibolga,ID,1.7427,98.7792,81,72,75.76,3.24,1628290524
77,Puerto Ayora,EC,-0.7393,-90.3518,85,78,75.16,8.99,1628290526
78,Kharan,PK,28.5833,65.4167,14,0,85.71,3.15,1628290527
79,Hermanus,ZA,-34.4187,19.2345,87,0,51.91,5.53,1628290355
80,Portland,US,45.5234,-122.6762,61,75,82.42,4.0,1628290072
81,George Town,MY,5.4112,100.3354,91,20,80.89,0.0,1628290533
82,Meulaboh,ID,4.1363,96.1285,86,96,76.28,4.16,1628290352
83,Barcelona,ES,41.3888,2.159,85,40,77.34,3.0,1628289833
84,San Ignacio,BZ,17.1561,-89.0714,47,75,77.14,9.22,1628290539
85,Kudahuvadhoo,MV,2.6708,72.8944,87,100,76.6,11.01,1628290295
86,Bluff,NZ,-46.6,168.3333,67,100,38.8,22.93,1628289942
87,Souillac,MU,-20.5167,57.5167,68,40,70.18,13.8,1628290366
88,Mar del Plata,AR,-38.0023,-57.5575,30,90,59.09,11.99,1628290399
89,Caravelas,BR,-17.7125,-39.2481,85,92,66.72,8.37,1628290358
90,Mackenzie,CA,55.2999,-123.1698,39,90,66.42,5.75,1628290548
91,Jaru,BR,-10.4389,-62.4664,29,1,82.24,0.6,1628290550
92,Kiryat Gat,IL,31.61,34.7642,55,0,85.41,3.56,1628290411
93,Yinchuan,CN,38.4681,106.2731,45,6,73.15,2.64,1628290529
94,Gamba,GA,-2.65,10.0,85,67,72.81,5.03,1628290415
95,Pevek,RU,69.7008,170.3133,69,36,43.32,8.12,1628290410
96,Iqaluit,CA,63.7506,-68.5145,71,90,46.13,9.22,1628290346
97,Qaanaaq,GL,77.484,-69.3632,58,0,45.03,0.85,1628290138
98,Dicabisagan,PH,17.0818,122.4157,69,99,85.06,6.35,1628290560
99,Columbus,US,39.9612,-82.9988,57,1,85.91,8.05,1628290290
100,Pangnirtung,CA,66.1451,-65.7125,81,90,42.8,10.36,1628290398
101,Saldanha,ZA,-33.0117,17.9442,80,9,48.25,3.31,1628290174
102,Mahébourg,MU,-20.4081,57.7,68,40,70.09,13.8,1628290508
103,Port Hedland,AU,-20.3167,118.5667,25,0,62.65,11.5,1628290489
104,Anadyr,RU,64.75,177.4833,71,20,50.5,13.42,1628290505
105,Avarua,CK,-21.2078,-159.775,73,75,78.85,12.66,1628290051
106,Tuktoyaktuk,CA,69.4541,-133.0374,87,90,41.0,12.66,1628290005
107,Chapais,CA,49.7834,-74.8492,86,100,74.98,11.65,1628290068
108,São Filipe,CV,14.8961,-24.4956,83,47,77.38,10.09,1628290575
109,Lompoc,US,34.6391,-120.4579,72,1,91.02,12.66,1628290191
110,Zhigansk,RU,66.7697,123.3711,46,79,58.1,5.19,1628290578
111,Sur,OM,22.5667,59.5289,53,1,89.01,9.75,1628290372
112,Puteyets,RU,65.1716,57.091,89,100,47.7,5.37,1628290582
113,Sault Ste. Marie,CA,46.5168,-84.3333,75,40,73.69,5.75,1628290584
114,Bathsheba,BB,13.2167,-59.5167,69,20,83.01,13.8,1628290288
115,Achutupo,PA,9.2,-77.9833,82,100,81.68,5.17,1628290587
116,Hokitika,NZ,-42.7167,170.9667,71,68,50.56,19.22,1628290589
117,Sola,VU,-13.8833,167.55,75,27,78.98,20.42,1628290275
118,Belmonte,BR,-15.8631,-38.8828,61,90,70.3,12.88,1628290594
119,Voh,NC,-20.9667,164.7,39,88,73.63,3.94,1628290595
120,Barstow,US,34.8986,-117.0228,5,0,104.99,13.58,1628290309
121,Carrollton,US,32.9537,-96.8903,53,40,95.95,3.0,1628290465
122,Airai,TL,-8.9266,125.4092,64,40,58.12,4.36,1628290316
123,Chokurdakh,RU,70.6333,147.9167,73,93,50.61,6.42,1628290601
124,Nouadhibou,MR,20.931,-17.0347,78,0,73.38,20.71,1628290495
125,Flinders,AU,-34.5833,150.8552,66,7,55.38,4.0,1628290333
126,Borovsk,RU,55.2064,36.4861,98,100,64.9,9.93,1628290605
127,Koygorodok,RU,60.445,50.9968,86,80,48.51,2.53,1628290607
128,Rakitnoye,RU,50.8389,35.8515,54,61,75.45,5.97,1628290608
129,Lakes Entrance,AU,-37.8811,147.981,64,74,50.18,9.17,1628290610
130,Saint George,US,37.1041,-113.5841,5,1,104.47,8.99,1628290299
131,Cabo Rojo,PR,18.0866,-67.1457,76,22,84.97,1.99,1628290514
132,Vila Velha,BR,-20.3297,-40.2925,78,20,69.75,6.91,1628290377
133,Aksarka,RU,66.5606,67.7975,66,25,62.17,4.09,1628290359
134,Aykhal,RU,66.0,111.5,62,73,52.34,15.01,1628290307
135,Yerofey Pavlovich,RU,53.9667,121.9667,95,87,60.19,2.06,1628290619
136,Teya,RU,60.3778,92.6267,73,52,58.48,0.74,1628290620
137,Charters Towers,AU,-20.1,146.2667,56,53,61.63,5.97,1628290622
138,Pechenga,RU,69.5259,31.1703,77,90,56.26,10.02,1628290624
139,Cape Town,ZA,-33.9258,18.4232,91,90,54.09,3.44,1628290362
140,Guerrero Negro,MX,27.9769,-114.0611,58,13,82.08,15.41,1628290626
141,Beringovskiy,RU,63.05,179.3167,90,100,44.08,17.81,1628290313
142,Santa Fe,AR,-31.6333,-60.7,60,38,69.03,1.99,1628290629
143,Luleå,SE,65.5842,22.1547,87,4,53.67,2.3,1628290631
144,Atlantic City,US,39.3643,-74.4229,66,45,86.27,13.53,1628290633
145,Uyemskiy,RU,64.4743,40.8524,100,20,42.85,4.47,1628290634
146,Øksfjord,NO,70.2396,22.3479,68,100,63.52,3.74,1628290637
147,Torbay,CA,47.6666,-52.7314,87,40,74.17,23.02,1628290189
148,Saint-Paul,RE,-21.0096,55.2707,76,30,66.31,1.9,1628290640
149,Tondano,ID,1.3038,124.9112,92,100,68.09,2.57,1628290642
150,Mapiri,BO,-15.25,-68.1667,61,9,69.12,1.32,1628290645
151,Yar-Sale,RU,66.8333,70.8333,64,81,64.04,6.11,1628290647
152,Te Anau,NZ,-45.4167,167.7167,79,89,42.21,7.34,1628290352
153,Touros,BR,-5.1989,-35.4608,67,100,79.7,18.12,1628290389
154,Yulara,AU,-25.2406,130.9889,60,0,37.24,4.61,1628290508
155,Huarmey,PE,-10.0681,-78.1522,78,1,66.07,11.59,1628290480
156,Nhamundá,BR,-2.1861,-56.7131,70,94,80.71,0.63,1628290654
157,Novoshcherbinovskaya,RU,46.4767,38.6476,35,63,84.02,14.61,1628290656
158,Bahía Blanca,AR,-38.7196,-62.2724,51,100,62.8,9.69,1628290377
159,Sikasso,ML,10.9167,-7.0,93,100,72.46,4.0,1628290660
160,Niquero,CU,20.0431,-77.5828,72,81,84.45,2.51,1628290662
161,Muros,ES,42.7762,-9.0603,92,76,64.99,7.25,1628290423
162,Broome,US,42.2506,-75.833,66,61,81.37,2.82,1628290665
163,Humberto de Campos,BR,-2.5983,-43.4611,85,30,76.21,5.17,1628290448
164,Tomar,PT,39.602,-8.4092,84,27,67.32,4.12,1628290668
165,Bethel,US,41.3712,-73.414,68,36,84.31,5.68,1628290669
166,Nara,JP,34.6851,135.8049,94,100,86.25,8.3,1628290658
167,Arraial do Cabo,BR,-22.9661,-42.0278,77,20,67.86,5.75,1628289992
168,Leninsk,RU,48.7119,45.1994,31,14,78.66,10.25,1628290674
169,Zyryanovsk,KZ,49.7386,84.2719,84,83,53.51,0.87,1628290676
170,Tiksi,RU,71.6872,128.8694,87,34,43.07,4.52,1628290255
171,Kargasok,RU,59.0556,80.8572,91,10,56.98,3.31,1628290679
172,Pareora,NZ,-44.4871,171.2132,87,90,49.17,7.65,1628290681
173,Marmaris,TR,36.855,28.2742,65,2,82.38,3.74,1628290684
174,Maple Creek,CA,49.9168,-109.4848,61,93,90.09,14.5,1628290685
175,Severo-Kuril'sk,RU,50.6789,156.125,75,100,55.53,5.48,1628290309
176,Hong Kong,HK,22.2855,114.1577,93,96,85.21,4.0,1628290260
177,Parintins,BR,-2.6283,-56.7358,71,55,79.75,2.1,1628290690
178,Bambous Virieux,MU,-20.3428,57.7575,68,40,70.05,13.8,1628290285
179,Geraldton,AU,-28.7667,114.6,51,90,57.61,19.57,1628290182
180,Vardø,NO,70.3705,31.1107,85,63,52.45,10.13,1628290694
181,Nikolskoye,RU,59.7035,30.7861,92,96,60.4,9.15,1628290695
182,Bielsk Podlaski,PL,52.7651,23.1865,98,100,58.24,11.81,1628290697
183,Kastamonu Province,TR,41.5,33.6667,51,61,67.98,4.32,1628290699
184,Davenda,RU,53.5556,119.317,92,51,60.55,1.72,1628290700
185,Nayoro,JP,44.3506,142.4578,64,2,83.16,5.14,1628290702
186,Arkhangel’skoye,RU,55.8549,35.3287,98,100,61.3,7.43,1628290703
187,Mildura,AU,-34.2,142.15,100,90,51.08,0.0,1628290369
188,Esim,GH,4.8699,-2.2405,83,72,75.83,9.26,1628290465
189,Tasiilaq,GL,65.6145,-37.6368,87,100,44.76,2.71,1628290165
190,Kavaratti,IN,10.5669,72.642,79,91,82.11,21.81,1628290514
191,Chui,UY,-33.6971,-53.4616,96,50,55.94,7.56,1628290713
192,Shimoda,JP,34.6667,138.95,83,100,78.1,10.8,1628290365
193,Talnakh,RU,69.4865,88.3972,46,16,68.67,1.21,1628290240
194,Omsukchan,RU,62.5333,155.8,89,100,46.15,5.48,1628290343
195,Mount Gambier,AU,-37.8333,140.7667,100,75,48.11,8.05,1628290374
196,Dauriya,RU,49.9333,116.8667,60,100,66.58,3.51,1628290722
197,Chara,RU,56.9064,118.2631,86,93,60.24,0.87,1628290470
198,Ribeira Grande,PT,38.5167,-28.7,70,74,70.07,17.65,1628290211
199,Kapaa,US,22.0752,-159.319,72,75,82.72,4.0,1628290270
200,Adrar,MR,20.5022,-10.0711,24,56,96.04,11.43,1628290130
201,Zaysan,KZ,47.4667,84.8667,52,45,60.87,7.52,1628290731
202,Viedma,AR,-40.8135,-62.9967,36,100,59.27,7.47,1628290733
203,Vila Franca do Campo,PT,37.7167,-25.4333,72,39,70.21,11.52,1628290492
204,Ukiah,US,39.1502,-123.2078,25,0,102.13,5.99,1628290733
205,Bredy,RU,52.4153,60.3411,84,0,57.31,8.46,1628290738
206,Rawson,AR,-43.3002,-65.1023,44,100,57.79,4.18,1628290265
207,Kamenka,RU,51.3223,42.7678,40,50,68.74,10.87,1628290214
208,Belaya Gora,RU,68.5333,146.4167,57,33,57.81,3.29,1628290742
209,Caarapó,BR,-22.6342,-54.8222,38,54,71.01,6.89,1628290743
210,Lüderitz,NA,-26.6481,15.1594,61,4,57.56,2.48,1628290325
211,Micheweni,TZ,-4.9667,39.8333,79,0,73.87,11.41,1628290747
212,Lata,PT,40.1629,-8.3327,91,62,66.92,0.56,1628290342
213,Kruisfontein,ZA,-34.0033,24.7314,92,6,47.88,3.91,1628290299
214,Russell,US,32.3502,-85.1999,54,75,89.31,0.0,1628290751
215,Karpogory,RU,64.0019,44.4451,79,8,46.29,1.57,1628290753
216,Saint-Philippe,RE,-21.3585,55.7679,73,72,65.79,11.14,1628290754
217,Colares,PT,38.7992,-9.4469,71,18,69.3,5.99,1628290756
218,Waddān,LY,29.1614,16.139,11,0,92.28,4.56,1628290757
219,Asău,RO,46.4333,26.4,71,24,61.95,6.38,1628290429
220,Barra de Tecoanapa,MX,16.5167,-98.75,71,93,84.22,6.53,1628290472
221,Hamilton,US,39.1834,-84.5333,56,1,85.57,1.01,1628290372
222,Khatanga,RU,71.9667,102.5,57,3,55.78,10.2,1628290763
223,Aramil,RU,56.6977,60.8369,82,0,51.91,8.95,1628290764
224,Bilibino,RU,68.0546,166.4372,60,64,61.3,9.19,1628290287
225,Ol'ga,RU,43.7444,135.2892,84,100,77.2,2.82,1628290768
226,Fairbanks,US,64.8378,-147.7164,85,90,67.23,1.99,1628290215
227,Ponta do Sol,PT,32.6667,-17.1,83,10,75.0,1.95,1628290771
228,Port Alfred,ZA,-33.5906,26.891,79,39,57.6,4.16,1628290772
229,Myitkyina,MM,25.3833,97.4,98,100,75.65,0.72,1628290456
230,Ubari,LY,26.5921,12.7805,12,0,88.9,5.12,1628290775
231,Puerto Ayacucho,VE,5.6639,-67.6236,84,51,77.38,1.07,1628290288
232,Biltine,TD,14.5333,20.9167,85,100,72.46,9.46,1628290778
233,Listvyanka,RU,51.8535,104.8693,96,100,58.5,7.78,1628290780
234,Volchanets,RU,42.9131,132.7469,92,100,76.14,4.7,1628290781
235,Castro,BR,-24.7911,-50.0119,93,91,54.0,5.35,1628290783
236,San Joaquin,US,37.9333,-121.3011,11,0,97.68,10.0,1628290784
237,Campo Verde,BR,-20.4167,-54.0667,31,25,76.21,8.32,1628290789
238,Zambezi,ZM,-13.5432,23.1047,24,0,54.82,4.47,1628290790
239,Hithadhoo,MV,-0.6,73.0833,72,99,79.97,0.74,1628290300
240,Tanuma,JP,36.3667,139.5833,76,51,86.29,3.76,1628290793
241,Kobryn,BY,52.2138,24.3564,93,100,55.67,12.73,1628290795
242,Talavera,PH,15.6167,120.9333,91,100,78.67,4.94,1628290796
243,Mahanje,TZ,-9.9333,35.3333,77,0,56.75,2.8,1628290798
244,Zelenoborskiy,RU,66.845,32.3622,86,89,51.89,1.3,1628290799
245,Pekan,MY,3.4836,103.3996,87,74,75.96,3.33,1628290801
246,Wisconsin Rapids,US,44.3836,-89.8174,69,100,83.21,6.6,1628290805
247,Taber,CA,49.8167,-112.1518,12,94,88.29,24.32,1628290805
248,Woodland,US,38.6785,-121.7733,11,0,104.14,7.76,1628290809
249,Qandala,SO,11.472,49.8728,53,32,88.36,4.36,1628290810
250,Eyl,SO,7.9803,49.8164,75,47,75.52,22.26,1628290813
251,Aklavik,CA,68.2191,-135.0107,66,100,41.94,16.96,1628290815
252,Cadiz,ES,36.5,-5.75,67,0,72.86,2.64,1628290817
253,Beihai,CN,21.4833,109.1,88,100,82.11,7.07,1628290819
254,Stornoway,GB,58.2093,-6.3865,100,90,58.93,11.5,1628290821
255,Henties Bay,NA,-22.116,14.2845,80,2,53.85,5.28,1628290823
256,Karatau,KZ,43.1667,70.4667,28,0,72.91,1.88,1628290829
257,Faanui,PF,-16.4833,-151.75,69,15,78.94,9.75,1628290831
258,Kaitangata,NZ,-46.2817,169.8464,66,95,45.93,11.72,1628290832
259,Sita Buzăului,RO,45.65,26.0667,100,6,58.17,2.86,1628290834
260,Vila,PT,42.0304,-8.1588,82,78,54.73,3.71,1628290504
261,Den Helder,NL,52.9599,4.7593,87,90,64.38,15.99,1628290837
262,Denpasar,ID,-8.65,115.2167,89,20,78.46,5.75,1628290839
263,Nanortalik,GL,60.1432,-45.2371,78,45,46.09,10.33,1628290841
264,Husavik,IS,66.0449,-17.3389,86,3,53.51,1.61,1628290451
265,Faya,SA,18.3851,42.4509,47,94,68.61,7.76,1628290845
266,Codrington,AU,-38.2667,141.9667,88,100,50.65,8.84,1628290396
267,Khandyga,RU,62.6667,135.6,43,48,69.13,4.74,1628290848
268,Marawi,PH,7.9986,124.2928,85,98,67.64,4.63,1628290497
269,Gabrovo,BG,42.8747,25.3342,75,12,64.62,10.71,1628290851
270,Ola,RU,59.5833,151.2833,56,5,60.01,15.79,1628290853
271,Dwārka,IN,22.2394,68.9678,82,99,81.01,13.6,1628290322
272,Rørvik,NO,64.8621,11.2373,72,53,59.59,9.13,1628290858
273,Chizhou,CN,30.6578,117.4831,94,15,77.5,5.06,1628290860
274,Gimli,CA,50.6336,-96.9907,63,92,79.43,4.61,1628290759
275,Alice Springs,AU,-23.7,133.8833,65,0,38.75,0.0,1628290299
276,Chicama,PE,-7.8447,-79.1469,75,3,67.5,9.26,1628290865
277,Sozimskiy,RU,59.7418,52.2482,78,99,51.12,3.04,1628290866
278,Norman Wells,CA,65.282,-126.8329,88,90,57.24,10.36,1628290868
279,Aranos,NA,-24.1333,19.1167,15,42,54.09,4.97,1628290869
280,Hūn,LY,29.1268,15.9477,12,0,91.67,4.65,1628290871
281,Seaford,GB,50.7714,0.1027,88,1,62.51,11.01,1628290645
282,Tataouine,TN,32.9297,10.4518,51,0,81.34,5.46,1628290874
283,Shirvan,AZ,39.9509,48.8994,59,0,79.32,4.9,1628290875
284,Lac-au-Saumon,CA,48.421,-67.3476,69,33,74.07,4.32,1628290878
285,Jacareacanga,BR,-6.2222,-57.7528,38,0,81.1,1.03,1628290880
286,Sidvokodvo,SZ,-26.6282,31.4202,89,0,58.6,1.34,1628290882
287,Alindao,CF,5.0267,21.2088,95,100,71.83,2.68,1628290885
288,Oparino,RU,59.8518,48.2783,72,90,52.63,4.23,1628290886
289,Port Lincoln,AU,-34.7333,135.8667,68,100,56.16,3.09,1628290147
290,Garissa,KE,-0.4536,39.6401,77,4,72.64,18.07,1628290890
291,Ostrovnoy,RU,68.0531,39.5131,86,23,50.49,4.99,1628290892
292,Yueyang,CN,29.3333,113.0919,87,16,79.63,7.02,1628290893
293,Roald,NO,62.5833,6.1333,72,20,64.9,5.75,1628290896
294,Olenino,RU,56.2092,33.4889,99,100,61.59,8.01,1628290898
295,Bambanglipuro,ID,-7.95,110.2833,87,25,74.52,3.56,1628290320
296,Port Blair,IN,11.6667,92.75,83,99,81.84,19.17,1628290901
297,Clyde River,CA,70.4692,-68.5914,96,100,35.26,3.85,1628290902
298,Mongomo,GQ,1.6274,11.3135,99,86,66.76,3.11,1628290904
299,Herat Province,AF,34.5,62.0,19,0,76.6,13.49,1628290905
300,Krasnyy Yar,RU,46.5331,48.3456,25,0,75.13,9.89,1628290907
301,Gautier,US,30.3858,-88.6117,74,79,87.89,6.53,1628290908
302,Berlin,DE,52.5244,13.4105,93,0,63.95,7.0,1628290759
303,Pisco,PE,-13.7,-76.2167,85,6,63.01,5.59,1628290911
304,Muzaffarabad,PK,34.37,73.4711,73,3,72.16,5.35,1628290913
305,Bengkulu,ID,-3.8004,102.2655,90,88,75.43,3.83,1628290915
306,Segezha,RU,63.7415,34.3222,74,6,52.0,7.58,1628290916
307,Coahuayana Viejo,MX,18.7333,-103.6833,85,98,81.88,3.0,1628290918
308,Shelburne,CA,44.0787,-80.2041,55,77,79.56,9.33,1628290719
309,Frutal,BR,-20.0247,-48.9406,41,100,74.59,10.65,1628290910
310,Fortuna,US,40.5982,-124.1573,66,20,93.47,5.99,1628290432
311,Mayskiy,RU,47.6931,40.1025,27,78,80.01,15.61,1628290923
312,Gachsaran,IR,30.3586,50.7981,29,83,90.72,3.74,1628290925
313,Cidreira,BR,-30.1811,-50.2056,93,100,61.0,17.65,1628290926
314,Ponta Delgada,PT,37.7333,-25.6667,68,20,70.52,9.22,1628290928
315,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,67,75,54.19,2.24,1628290401
316,Batemans Bay,AU,-35.7167,150.1833,64,81,51.91,4.0,1628290804
317,Boa Vista,BR,2.8197,-60.6733,69,20,82.38,0.0,1628290932
318,Usinsk,RU,65.9939,57.5281,87,100,50.65,7.49,1628290480
319,Yelniki,RU,54.6207,43.876,56,80,66.69,10.07,1628290935
320,Sisimiut,GL,66.9395,-53.6735,90,100,43.09,12.41,1628290937
321,João Câmara,BR,-5.5375,-35.8197,67,88,73.89,16.55,1628290938
322,Buraidah,SA,26.326,43.975,14,80,90.05,6.06,1628290176
323,Longyearbyen,SJ,78.2186,15.6401,77,96,43.61,5.93,1628290379
324,Sept-Îles,CA,50.2001,-66.3821,85,75,70.32,4.0,1628290504
325,Reguengos de Monsaraz,PT,38.4253,-7.5349,64,2,69.75,10.63,1628290944
326,Tsimmerbude,RU,54.675,20.1347,88,100,60.85,14.0,1628290946
327,Limpapa,PH,7.1197,121.9106,79,94,79.11,6.33,1628290947
328,Wolbrom,PL,50.3796,19.7583,78,27,54.28,4.83,1628290949
329,Gelendzhik,RU,44.5731,38.0747,70,68,77.22,3.02,1628290951
330,Nhulunbuy,AU,-12.2333,136.7667,69,75,77.61,17.27,1628290953
331,Karratha,AU,-20.7377,116.8463,31,2,65.19,15.01,1628290955
332,Yima,CN,34.7381,111.8839,82,98,73.92,2.55,1628290957
333,Kismayo,SO,-0.3582,42.5454,78,30,75.49,15.39,1628290959
334,Nauen,DE,52.607,12.8737,95,52,64.04,5.32,1628290960
335,Kenai,US,60.5544,-151.2583,82,90,61.14,11.5,1628290411
336,Kānker,IN,20.2719,81.4931,93,22,72.79,3.85,1628290963
337,Kerman,IR,30.2832,57.0788,27,78,76.51,3.15,1628290965
338,Nur,PL,52.6683,22.3221,98,100,57.78,13.02,1628290966
339,Lisala,CD,2.15,21.5167,98,86,69.31,1.66,1628290934
340,Isla Mujeres,MX,21.2311,-86.731,70,58,87.17,10.47,1628290972
341,Sarkand,KZ,45.41,79.9186,48,9,61.72,4.5,1628290973
342,Provideniya,RU,64.3833,-173.3,80,100,48.54,1.28,1628290975
343,Belyy Yar,RU,53.6039,91.3903,94,0,60.69,0.0,1628290977
344,Esperance,AU,-33.8667,121.9,54,0,53.11,17.67,1628290978
345,Samarai,PG,-10.6167,150.6667,78,98,77.76,11.63,1628290980
346,Hibbing,US,47.4272,-92.9377,46,1,75.85,0.0,1628290981
347,Constitución,CL,-35.3333,-72.4167,93,100,51.28,9.35,1628290983
348,Josanicka Banja,RS,43.3895,20.7503,63,28,54.73,2.01,1628290985
349,Takoradze,GH,4.8845,-1.7554,84,69,75.36,9.46,1628290986
350,Birao,CF,10.2849,22.7882,97,100,71.49,2.53,1628290934
351,San Andrés,CO,12.5847,-81.7006,82,72,82.4,18.39,1628290989
352,Tazovsky,RU,67.4667,78.7,60,10,57.33,4.54,1628290483
353,Vágur,FO,61.4732,-6.8119,96,100,53.46,19.62,1628290992
354,Kloulklubed,PW,7.0419,134.2556,75,99,79.3,6.33,1628290994
355,Roskoshnoye,UA,48.5074,39.3004,29,61,78.87,16.87,1628290995
356,Laguna,US,38.421,-121.4238,23,75,97.88,0.0,1628290997
357,Harper,LR,4.375,-7.7169,78,10,76.3,6.4,1628290494
